년월,주택담보대출금리,미국달러,일본엔,유로,소비자물가지수,소비자물가지수증감률,KOSPI_종가,KOSDAQ_종가,무담보콜금리,KORIBOR,CD,국고채_1년,국고채_10년,면적당가격
201003,5.47,1130.8,12.1768,1518.21,85.696,0.2,1692.85,515.74,2.01,2.82,2.83,2.83,4.92,587.4760505009602
201004,5.07,1115.5,11.8677,1479.32,86.041,0.4,1741.56,523.75,2.0,2.54,2.51,2.67,4.91,562.6188815998651
201005,4.78,1200.2,13.1854,1474.21,86.128,0.1,1641.25,489.42,2.01,2.46,2.45,2.73,4.95,581.3652029849577
201006,4.62,1210.3,13.6456,1475.42,86.041,-0.1,1698.29,489.98,2.0,2.46,2.45,2.92,4.93,595.7204711630158
201007,4.7,1187.2,13.6995,1552.38,86.214,0.2,1759.33,481.44999999999993,2.21,2.61,2.58,3.14,4.91,601.6955862668615
201008,4.81,1189.1,14.0597,1505.94,86.647,0.5,1742.75,464.71,2.27,2.66,2.63,3.13,4.68,602.2070571433322
201009,4.8,1142.0,13.633399999999998,1555.98,87.337,0.7999999999999999,1872.81,492.75,2.27,2.68,2.66,2.99,4.28,589.483255612884
201010,4.74,1126.6,13.906900000000002,1569.3,87.337,0.0,1882.9500000000003,526.45,2.26,2.66,2.66,2.8,4.11,605.4915863814122
201011,4.65,1157.3,13.7341,1518.2600000000002,86.906,-0.5,1904.63,498.39,2.37,2.72,2.7300000000000004,2.9199999999999995,4.48,642.907087579991
201012,4.67,1138.9,13.970799999999999,1513.6,87.25100000000002,0.4,2051.0,510.68999999999994,2.5,2.8,2.8,2.8700000000000006,4.46,645.0043609397333
201101,4.8,1114.3,13.5659,1514.0,88.288,1.2,2069.73,521.38,2.6599999999999997,2.9099999999999997,2.93,3.0900000000000003,4.69,608.7841927691667
201102,4.86,1127.9,13.809600000000001,1549.4500000000003,88.89199999999998,0.7,1939.2999999999997,504.46,2.75,3.11,3.1300000000000003,3.39,4.76,581.5683196586688
201103,4.89,1107.2,13.3189,1563.4799999999998,89.238,0.39999999999999997,2106.7,525.42,2.92,3.31,3.35,3.42,4.51,564.9748681452049
201104,4.88,1072.3,13.1377,1591.24,89.325,0.1,2192.36,511.0,3.01,3.39,3.4,3.43,4.48,574.5133452686216
201105,4.9,1080.6,13.3556,1549.69,89.49700000000001,0.2,2142.47,484.54,3.02,3.45,3.46,3.43,4.34,575.6922277341642
201106,4.869999999999999,1078.1,13.3569,1560.5,89.66999999999999,0.2,2100.69,479.55,3.2,3.51,3.53,3.49,4.24,575.36111143119
201107,4.9,1052.6,13.5322,1507.85,90.102,0.5,2133.21,536.05,3.26,3.58,3.59,3.59,4.23,613.224933230857
201108,4.97,1071.7,13.9681,1547.27,90.707,0.7,1880.11,493.43999999999994,3.25,3.5899999999999994,3.5899999999999994,3.5,3.9600000000000004,566.8193432133838
201109,5.0,1179.5,15.3661,1601.35,90.62,-0.1,1769.65,449.66,3.25,3.57,3.58,3.41,3.75,573.8600996540334
201110,5.01,1104.5,14.5799,1562.65,90.448,-0.2,1909.03,490.69,3.24,3.57,3.58,3.46,3.86,588.3505444183428
201111,5.01,1150.3,14.7569,1532.89,90.534,0.1,1847.5100000000002,492.80999999999995,3.26,3.56,3.56,3.42,3.8,588.0452826473941
201112,4.95,1153.3,14.8516,1494.1,90.879,0.4,1825.74,500.17999999999995,3.26,3.55,3.55,3.4,3.8099999999999996,610.7135342351197
201201,5.06,1125.0,14.7309,1478.19,91.242,0.4,1955.7899999999997,513.99,3.2599999999999993,3.56,3.55,3.39,3.8,573.6255494012422
201202,5.02,1126.5,13.9921,1516.33,91.588,0.4,2030.25,542.3,3.25,3.53,3.53,3.41,3.81,568.9258197988246
201203,5.0,1137.8,13.8074,1513.44,91.614,0.0,2014.04,519.56,3.25,3.53,3.54,3.47,3.95,566.1766144769747
201204,4.94,1134.2,14.1201,1501.68,91.605,0.0,1981.9899999999998,478.89,3.25,3.5199999999999996,3.54,3.45,3.9,583.941085372401
201205,4.85,1177.8,14.891,1456.64,91.769,0.2,1843.47,471.94,3.26,3.52,3.54,3.37,3.75,591.5422206514403
201206,4.76,1153.8,14.537900000000002,1435.04,91.639,-0.09999999999999999,1854.0099999999998,489.16,3.2599999999999993,3.5099999999999993,3.54,3.29,3.63,557.0746589345382
